测量深度(m)	斜度(°)	方位(°)	垂直深度(m)	总位移(m)	总方位(°)	
252	0.12	241.27	252	0.51	233.25	
275	0.52	241.27	275	0.72	233.25	
300	0.42	235.82	300	0.9	232.15	
325	0.43	239.23	325	1.09	231.99	
350	0.4	243.02	350	1.27	232.4	
375	0.48	245.25	375	1.48	233.09	
400	0.55	243.12	399.99	1.72	233.37	
425	0.48	238.72	424.99	1.93	233.08	
450	0.68	242.60	449.99	2.22	233.28	
475	0.67	239.52	474.99	2.51	233.07	
500	0.73	228.03	499.99	2.83	231.61	
525	0.87	237.27	524.99	3.21	231.33	
550	1.28	249.85	549.98	3.76	232.89	
575	2.63	254.77	574.95	4.88	236.12	
600	4.6	258.18	599.87	6.84	240.2	
625	3.23	274.63	624.83	8.13	244.62	
650	3.15	302.42	649.79	9.08	251.26	
675	1.3	344.37	674.79	9.14	254.8	
700	1.37	89.22	699.78	8.55	254.36	
725	1.37	116.77	724.77	8.07	251.96	
750	1.43	92.9	749.77	7.46	250.89	
775	1.15	95.93	774.76	6.98	249.68	
800	0.32	206.45	799.76	7.07	248.81	
825	0.35	206.45	824.76	7.17	247.87	
850	0.28	211.82	849.76	7.25	247.19	
